Agency Name,State,NCES Agency ID,County Name,County #,Total Public Schools 2020-2021,Total Operational Public Schools 2020-2021,State Agency ID,Total Students 2020-2021,FTE Teachers 2020-2021,Total Staff 2020-2021,District #,% Operational Schools 2020-2021
VAN ISD,Texas,4843920.0,Van Zandt County,48467.0,5.0,5.0,TX-234906,2354.0,152.09,314.38,234906,1.0
VAN VLECK ISD,Texas,4843950.0,Matagorda County,48321.0,4.0,4.0,TX-158906,1056.0,78.8,164.48,158906,1.0
VANGUARD ACADEMY,Texas,4800195.0,Hidalgo County,48215.0,4.0,4.0,TX-108808,4906.0,274.8,515.92,108808,1.0
VEGA ISD,Texas,4843980.0,Oldham County,48359.0,3.0,3.0,TX-180902,360.0,41.67,69.97,180902,1.0
VENUS ISD,Texas,4844010.0,Johnson County,48251.0,5.0,4.0,TX-126908,2197.0,164.51,314.76,126908,0.8
VERIBEST ISD,Texas,4844040.0,Tom Green County,48451.0,4.0,2.0,TX-226908,258.0,23.0,43.31,226908,0.5
VERNON ISD,Texas,4844110.0,Wilbarger County,48487.0,5.0,5.0,TX-244903,1899.0,144.51,314.34,244903,1.0
VICTORIA ISD,Texas,4844150.0,Victoria County,48469.0,26.0,25.0,TX-235902,13479.0,936.23,2049.69,235902,0.9615384615384616
VIDOR ISD,Texas,4844160.0,Orange County,48361.0,6.0,6.0,TX-181907,4236.0,323.38,700.43,181907,1.0
VILLAGE TECH SCHOOLS,Texas,4801436.0,Dallas County,48113.0,1.0,1.0,TX-057847,1203.0,60.96,100.26,057847,1.0
VISTA DEL FUTURO CHARTER SCHOOL,Texas,4801394.0,El Paso County,48141.0,1.0,1.0,TX-071809,249.0,15.21,51.69,071809,1.0
VYSEHRAD ISD,Texas,4844250.0,Lavaca County,48285.0,1.0,1.0,TX-143904,107.0,11.31,20.75,143904,1.0
WACO CHARTER SCHOOL,Texas,4800024.0,McLennan County,48309.0,1.0,1.0,TX-161801,223.0,18.0,35.31,161801,1.0
WACO ISD,Texas,4844280.0,McLennan County,48309.0,25.0,25.0,TX-161914,14428.0,1002.72,2316.34,161914,1.0
WAELDER ISD,Texas,4844310.0,Gonzales County,48177.0,1.0,1.0,TX-089905,298.0,27.79,62.57,089905,1.0
WALCOTT ISD,Texas,4844370.0,Deaf Smith County,48117.0,1.0,1.0,TX-059902,142.0,9.7,23.42,059902,1.0
WALL ISD,Texas,4844410.0,Tom Green County,48451.0,6.0,6.0,TX-226906,1258.0,121.19,222.32,226906,1.0
WALLER ISD,Texas,4844430.0,Waller County,48473.0,9.0,8.0,TX-237904,7762.0,535.17,1147.51,237904,0.8888888888888888
WALNUT BEND ISD,Texas,4844490.0,Cooke County,48097.0,1.0,1.0,TX-049908,58.0,5.84,15.89,049908,1.0
WALNUT SPRINGS ISD,Texas,4844520.0,Bosque County,48035.0,1.0,1.0,TX-018905,170.0,20.0,32.5,018905,1.0
WARREN ISD,Texas,4844580.0,Tyler County,48457.0,5.0,4.0,TX-229904,1268.0,97.88,201.94,229904,0.8
WASKOM ISD,Texas,4844670.0,Harrison County,48203.0,4.0,3.0,TX-102903,824.0,76.3,158.58,102903,0.75
WATER VALLEY ISD,Texas,4844710.0,Tom Green County,48451.0,7.0,4.0,TX-226905,313.0,32.18,53.41,226905,0.5714285714285714
WAXAHACHIE FAITH FAMILY ACADEMY,Texas,4800105.0,Dallas County,48113.0,2.0,2.0,TX-070801,2686.0,123.32,282.22,070801,1.0
WAXAHACHIE ISD,Texas,4844730.0,Ellis County,48139.0,16.0,16.0,TX-070912,9679.0,714.72,1521.96,070912,1.0
WAYSIDE SCHOOLS,Texas,4800044.0,Travis County,48453.0,4.0,4.0,TX-227803,1861.0,129.14,210.98,227803,1.0
WEATHERFORD ISD,Texas,4844800.0,Parker County,48367.0,10.0,10.0,TX-184903,8024.0,561.82,1087.69,184903,1.0
WEBB CISD,Texas,4844810.0,Webb County,48479.0,5.0,3.0,TX-240904,269.0,29.99,65.77,240904,0.6
WEIMAR ISD,Texas,4844820.0,Colorado County,48089.0,3.0,3.0,TX-045905,670.0,60.71,114.24,045905,1.0
WELLINGTON ISD,Texas,4844890.0,Collingsworth County,48087.0,3.0,3.0,TX-044902,542.0,54.26,101.35,044902,1.0
WELLMAN-UNION CISD,Texas,4844910.0,Terry County,48445.0,1.0,1.0,TX-223904,308.0,25.59,49.59,223904,1.0
WELLS ISD,Texas,4844940.0,Cherokee County,48073.0,2.0,2.0,TX-037909,263.0,27.49,51.85,037909,1.0
WESLACO ISD,Texas,4844960.0,Hidalgo County,48215.0,22.0,22.0,TX-108913,16571.0,1042.71,2227.05,108913,1.0
WEST HARDIN COUNTY CISD,Texas,4845000.0,Hardin County,48199.0,3.0,3.0,TX-100908,535.0,48.11,88.74,100908,1.0
WEST ISD,Texas,4845040.0,McLennan County,48309.0,5.0,4.0,TX-161916,1264.0,96.39,205.89,161916,0.8
WEST ORANGE-COVE CISD,Texas,4845090.0,Orange County,48361.0,4.0,4.0,TX-181906,2522.0,179.71,411.33,181906,1.0
WEST OSO ISD,Texas,4845120.0,Nueces County,48355.0,5.0,5.0,TX-178915,1977.0,142.17,309.88,178915,1.0
WEST RUSK COUNTY CONSOLIDATED ISD,Texas,4845150.0,Rusk County,48401.0,5.0,4.0,TX-201914,1027.0,76.5,160.81,201914,0.8
WEST SABINE ISD,Texas,4845180.0,Sabine County,48403.0,2.0,2.0,TX-202905,569.0,49.76,95.98,202905,1.0
WESTBROOK ISD,Texas,4845210.0,Mitchell County,48335.0,2.0,1.0,TX-168903,227.0,21.31,50.38,168903,0.5
WESTHOFF ISD,Texas,4845240.0,DeWitt County,48123.0,1.0,1.0,TX-062905,66.0,7.18,17.83,062905,1.0
WESTLAKE ACADEMY CHARTER SCHOOL,Texas,4800254.0,Tarrant County,48439.0,1.0,1.0,TX-220810,865.0,63.11,101.47,220810,1.0
WESTPHALIA ISD,Texas,4845330.0,Falls County,48145.0,1.0,1.0,TX-073904,160.0,15.22,27.01,073904,1.0
WESTWOOD ISD,Texas,4843290.0,Anderson County,48001.0,4.0,4.0,TX-001908,1352.0,125.9,262.79,001908,1.0
WHARTON ISD,Texas,4845380.0,Wharton County,48481.0,4.0,4.0,TX-241904,1914.0,150.48,353.61,241904,1.0
WHEELER ISD,Texas,4845420.0,Wheeler County,48483.0,1.0,1.0,TX-242903,417.0,39.88,71.88,242903,1.0
WHITE DEER ISD,Texas,4845450.0,Carson County,48065.0,2.0,2.0,TX-033904,373.0,31.09,62.03,033904,1.0
WHITE OAK ISD,Texas,4845480.0,Gregg County,48183.0,4.0,4.0,TX-092908,1468.0,121.55,208.44,092908,1.0
WHITE SETTLEMENT ISD,Texas,4845540.0,Tarrant County,48439.0,10.0,10.0,TX-220920,6701.0,441.13,825.32,220920,1.0
WHITEFACE CISD,Texas,4845570.0,Cochran County,48079.0,1.0,1.0,TX-040902,339.0,31.94,59.46,040902,1.0
WHITEHOUSE ISD,Texas,4845600.0,Smith County,48423.0,8.0,8.0,TX-212906,4818.0,341.82,674.54,212906,1.0
WHITESBORO ISD,Texas,4845630.0,Grayson County,48181.0,5.0,4.0,TX-091909,1596.0,106.5,216.49,091909,0.8
WHITEWRIGHT ISD,Texas,4845670.0,Grayson County,48181.0,3.0,3.0,TX-091910,743.0,66.37,111.17,091910,1.0
WHITHARRAL ISD,Texas,4845690.0,Hockley County,48219.0,1.0,1.0,TX-110908,176.0,17.45,32.16,110908,1.0
WHITNEY ISD,Texas,4845720.0,Hill County,48217.0,6.0,5.0,TX-109911,1443.0,117.75,251.79,109911,0.8333333333333334
WICHITA FALLS ISD,Texas,4845780.0,Wichita County,48485.0,28.0,28.0,TX-243905,13600.0,1037.04,1934.87,243905,1.0
WILDORADO ISD,Texas,4845840.0,Oldham County,48359.0,1.0,1.0,TX-180904,216.0,17.51,30.61,180904,1.0
WILLIS ISD,Texas,4845900.0,Montgomery County,48339.0,12.0,11.0,TX-170904,7882.0,442.28,973.76,170904,0.9166666666666666
WILLS POINT ISD,Texas,4845950.0,Van Zandt County,48467.0,5.0,5.0,TX-234907,2467.0,180.79,377.61,234907,1.0
WILSON ISD,Texas,4845990.0,Lynn County,48305.0,1.0,1.0,TX-153907,135.0,17.5,33.23,153907,1.0
WIMBERLEY ISD,Texas,4800009.0,Hays County,48209.0,4.0,4.0,TX-105905,2562.0,179.08,363.08,105905,1.0
WINDHAM SCHOOL DISTRICT,Texas,4800291.0,Walker County,48471.0,0.0,0.0,TX-236903,,0.0,0.0,236903,
WINDTHORST ISD,Texas,4846080.0,Archer County,48009.0,3.0,3.0,TX-005904,434.0,35.8,65.77,005904,1.0
WINFREE ACADEMY CHARTER SCHOOLS,Texas,4800202.0,Dallas County,48113.0,6.0,6.0,TX-057828,1276.0,48.87,119.66,057828,1.0
WINK-LOVING ISD,Texas,4846170.0,Winkler County,48495.0,2.0,2.0,TX-248902,403.0,45.87,80.42,248902,1.0
WINNSBORO ISD,Texas,4846200.0,Wood County,48499.0,4.0,4.0,TX-250907,1467.0,112.77,233.83,250907,1.0
WINONA ISD,Texas,4846230.0,Smith County,48423.0,3.0,3.0,TX-212910,1053.0,92.7,210.06,212910,1.0
WINTERS ISD,Texas,4846260.0,Runnels County,48399.0,5.0,4.0,TX-200904,556.0,49.34,116.24,200904,0.8
WODEN ISD,Texas,4846320.0,Nacogdoches County,48347.0,3.0,3.0,TX-174906,764.0,66.0,102.83,174906,1.0
WOLFE CITY ISD,Texas,4846350.0,Hunt County,48231.0,3.0,3.0,TX-116909,641.0,59.06,107.28,116909,1.0
WOODSBORO ISD,Texas,4846380.0,Refugio County,48391.0,2.0,2.0,TX-196902,428.0,42.0,93.0,196902,1.0
WOODSON ISD,Texas,4846410.0,Throckmorton County,48447.0,1.0,1.0,TX-224902,161.0,14.56,26.51,224902,1.0
WOODVILLE ISD,Texas,4846440.0,Tyler County,48457.0,4.0,4.0,TX-229903,1236.0,115.18,267.25,229903,1.0
WORTHAM ISD,Texas,4846470.0,Freestone County,48161.0,4.0,3.0,TX-081905,495.0,37.88,80.55,081905,0.75
WYLIE ISD,Texas,4846500.0,Taylor County,48441.0,8.0,7.0,TX-221912,4910.0,324.73,625.0,221912,0.875
WYLIE ISD,Texas,4846530.0,Collin County,48085.0,22.0,20.0,TX-043914,17482.0,1106.31,2165.34,043914,0.9090909090909091
YANTIS ISD,Texas,4846590.0,Wood County,48499.0,2.0,2.0,TX-250905,371.0,31.95,52.97,250905,1.0
YELLOWSTONE COLLEGE PREPARATORY,TEXAS,4801463.0,Harris County,48201.0,1.0,1.0,TX-101873,230.0,17.26,27.69,101873,1.0
YES PREP PUBLIC SCHOOLS INC,Texas,4800209.0,Harris County,48201.0,17.0,17.0,TX-101845,13455.0,801.78,1463.85,101845,1.0
YOAKUM ISD,Texas,4846620.0,Lavaca County,48285.0,5.0,5.0,TX-062903,1495.0,150.53,376.11,062903,1.0
YORKTOWN ISD,Texas,4846650.0,DeWitt County,48123.0,3.0,3.0,TX-062904,524.0,51.22,91.83,062904,1.0
YSLETA ISD,Texas,4846680.0,El Paso County,48141.0,60.0,58.0,TX-071905,38390.0,2642.51,6119.42,071905,0.9666666666666667
ZAPATA COUNTY ISD,Texas,4846710.0,Zapata County,48505.0,6.0,6.0,TX-253901,3486.0,227.95,519.55,253901,1.0
ZAVALLA ISD,Texas,4846740.0,Angelina County,48005.0,3.0,2.0,TX-003906,300.0,32.14,59.02,003906,0.6666666666666666
ZEPHYR ISD,Texas,4846770.0,Brown County,48049.0,1.0,1.0,TX-025906,199.0,19.97,33.55,025906,1.0
"Data Source: U.S. Department of Education National Center for Education Statistics Common Core of Data (CCD) ""Local Education Agency (School District) Universe Survey"" 2020-21 v.1a; ""Public Elementary/Secondary School Universe Survey"" 2020-21 v.1a.",,,,,,,,,,,,
† indicates that the data are not applicable.,,,,,,,,,,,,
– indicates that the data are missing.,,,,,,,,,,,,
‡ indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,
