Agency Name,State,NCES Agency ID,County Name,County #,Total Public Schools 2020-2021,Total Operational Public Schools 2020-2021,State Agency ID,Total Students 2020-2021,FTE Teachers 2020-2021,Total Staff 2020-2021,District #,% Operational Schools 2020-2021
LYTLE ISD,Texas,4828650.0,Atascosa County,48013.0,6.0,5.0,TX-007904,1760.0,135.05,305.44,007904,0.8333333333333334
MABANK ISD,Texas,4828680.0,Kaufman County,48257.0,6.0,6.0,TX-129905,3544.0,252.97,529.2,129905,1.0
MADISONVILLE CISD,Texas,4828710.0,Madison County,48313.0,4.0,4.0,TX-154901,2294.0,171.22,310.35,154901,1.0
MAGNOLIA ISD,Texas,4828740.0,Montgomery County,48339.0,17.0,17.0,TX-170906,13122.0,870.52,1711.62,170906,1.0
MALAKOFF ISD,Texas,4828780.0,Henderson County,48213.0,6.0,6.0,TX-107906,1361.0,111.61,240.08,107906,1.0
MALONE ISD,Texas,4828800.0,Hill County,48217.0,2.0,1.0,TX-109908,165.0,13.57,31.68,109908,0.5
MALTA ISD,Texas,4828830.0,Bowie County,48037.0,1.0,1.0,TX-019910,219.0,16.91,26.2,019910,1.0
MANARA ACADEMY,Texas,4801415.0,Dallas County,48113.0,3.0,3.0,TX-057844,659.0,50.51,64.75,057844,1.0
MANOR ISD,Texas,4828890.0,Travis County,48453.0,17.0,15.0,TX-227907,9238.0,638.77,1331.38,227907,0.8823529411764706
MANSFIELD ISD,Texas,4828920.0,Tarrant County,48439.0,48.0,44.0,TX-220908,35127.0,2273.9,4364.0,220908,0.9166666666666666
MARATHON ISD,Texas,4828980.0,Brewster County,48043.0,1.0,1.0,TX-022902,60.0,12.0,18.91,022902,1.0
MARBLE FALLS ISD,Texas,4829010.0,Burnet County,48053.0,7.0,7.0,TX-027904,4099.0,314.95,678.62,027904,1.0
MARFA ISD,Texas,4829040.0,Presidio County,48377.0,1.0,1.0,TX-189901,294.0,29.98,60.63,189901,1.0
MARION ISD,Texas,4829100.0,Guadalupe County,48187.0,5.0,5.0,TX-094904,1483.0,116.37,201.2,094904,1.0
MARLIN ISD,Texas,4829130.0,Falls County,48145.0,3.0,3.0,TX-073903,881.0,67.71,191.3,073903,1.0
MARSHALL ISD,Texas,4829160.0,Harrison County,48203.0,8.0,8.0,TX-102902,5064.0,359.05,764.09,102902,1.0
MART ISD,Texas,4829190.0,McLennan County,48309.0,4.0,3.0,TX-161908,541.0,42.72,78.8,161908,0.75
MARTINS MILL ISD,Texas,4829220.0,Van Zandt County,48467.0,3.0,2.0,TX-234905,457.0,43.57,78.88,234905,0.6666666666666666
MARTINSVILLE ISD,Texas,4829250.0,Nacogdoches County,48347.0,1.0,1.0,TX-174909,341.0,32.91,58.18,174909,1.0
MASON ISD,Texas,4829280.0,Mason County,48319.0,3.0,3.0,TX-157901,716.0,70.87,121.57,157901,1.0
MATAGORDA ISD,Texas,4829370.0,Matagorda County,48321.0,1.0,1.0,TX-158904,106.0,11.0,22.01,158904,1.0
MATHIS ISD,Texas,4829400.0,San Patricio County,48409.0,4.0,4.0,TX-205904,1504.0,106.79,252.15,205904,1.0
MAUD ISD,Texas,4829460.0,Bowie County,48037.0,1.0,1.0,TX-019903,478.0,38.75,75.86,019903,1.0
MAY ISD,Texas,4829520.0,Brown County,48049.0,2.0,2.0,TX-025905,253.0,27.01,48.86,025905,1.0
MAYPEARL ISD,Texas,4829580.0,Ellis County,48139.0,4.0,4.0,TX-070915,1161.0,79.52,166.77,070915,1.0
MCALLEN ISD,Texas,4829670.0,Hidalgo County,48215.0,33.0,32.0,TX-108906,21602.0,1547.44,3334.68,108906,0.9696969696969697
MCCAMEY ISD,Texas,4829700.0,Upton County,48461.0,3.0,3.0,TX-231901,494.0,44.37,102.8,231901,1.0
MCDADE ISD,Texas,4829760.0,Bastrop County,48021.0,3.0,2.0,TX-011905,334.0,32.73,66.31,011905,0.6666666666666666
MCGREGOR ISD,Texas,4829820.0,McLennan County,48309.0,5.0,4.0,TX-161909,1478.0,110.83,247.24,161909,0.8
MCKINNEY ISD,Texas,4829850.0,Collin County,48085.0,33.0,32.0,TX-043907,23398.0,1642.76,2762.98,043907,0.9696969696969697
MCLEAN ISD,Texas,4829880.0,Gray County,48179.0,1.0,1.0,TX-090903,201.0,20.5,39.34,090903,1.0
MCLEOD ISD,Texas,4829910.0,Cass County,48067.0,3.0,3.0,TX-034906,396.0,35.89,65.25,034906,1.0
MCMULLEN COUNTY ISD,Texas,4829940.0,McMullen County,48311.0,1.0,1.0,TX-162904,267.0,25.53,51.54,162904,1.0
MEADOW ISD,Texas,4830000.0,Terry County,48445.0,1.0,1.0,TX-223902,265.0,31.65,51.11,223902,1.0
