ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): TEXAS

Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,County Name [District] 2020-21,County Number [District] 2020-21,Total Number Operational Schools [Public School] 2020-21,Total Number of Public Schools [Public School] 2020-21,State Agency ID [District] 2020-21,Total Students All Grades (Excludes AE) [District] 2020-21,Full-Time Equivalent (FTE) Teachers [District] 2020-21,Total Staff [District] 2020-21,Locale [District] 2020-21
HAPPY ISD,Texas,4822350,Swisher County,48437,2,2,TX-219901,269,26.44,47.96,42-Rural: Distant
HARDIN ISD,Texas,4822380,Liberty County,48291,3,3,TX-146904,1225,110.93,223.95,42-Rural: Distant
HARDIN-JEFFERSON ISD,Texas,4822410,Hardin County,48199,5,5,TX-100905,2481,168.22,341.73,42-Rural: Distant
HARLANDALE ISD,Texas,4822470,Bexar County,48029,29,31,TX-015904,12522,953.06,2170.89,11-City: Large
HARLETON ISD,Texas,4822500,Harrison County,48203,3,3,TX-102905,714,64.98,125.15,42-Rural: Distant
HARLINGEN CISD,Texas,4822530,Cameron County,48061,31,31,TX-031903,17882,1241.85,2744.47,13-City: Small
HARMONY ISD,Texas,4822560,Upshur County,48459,4,4,TX-230905,1025,90.53,175.25,42-Rural: Distant
HARMONY SCHOOL OF EXCELLENCE,Texas,4800274,Harris County,48201,9,9,TX-101858,5987,355.71,598.29,11-City: Large
HARMONY SCHOOL OF SCIENCE - HOUSTON,Texas,4801405,Harris County,48201,6,6,TX-101862,3992,242.87,412.42,12-City: Mid-size
HARMONY SCIENCE ACAD (EL PASO),Texas,4800272,El Paso County,48141,6,6,TX-071806,4141,260.50,441.37,11-City: Large
HARMONY SCIENCE ACAD (SAN ANTONIO),Texas,4800266,Bexar County,48029,8,8,TX-015828,4436,297.40,515.06,11-City: Large
HARMONY SCIENCE ACAD (WACO),Texas,4800292,McLennan County,48309,16,16,TX-161807,10074,592.40,946.76,21-Suburb: Large
HARMONY SCIENCE ACADEMY,Texas,4800210,Fort Bend County,48157,6,6,TX-101846,3677,227.62,393.76,11-City: Large
HARMONY SCIENCE ACADEMY (AUSTIN),Texas,4800241,Travis County,48453,7,7,TX-227816,4517,270.38,455.84,11-City: Large
HARPER ISD,Texas,4822590,Gillespie County,48171,3,3,TX-086902,554,49.64,89.78,43-Rural: Remote
HARRIS COUNTY DEPT OF ED,Texas,4800261,Harris County,48201,1,5,TX-101000,="0",="0.00",="0.00",21-Suburb: Large
HARROLD ISD,Texas,4822620,Wilbarger County,48487,1,1,TX-244901,107,14.20,23.75,42-Rural: Distant
HART ISD,Texas,4822650,Castro County,48069,1,1,TX-035902,212,19.84,43.32,43-Rural: Remote
HARTLEY ISD,Texas,4822680,Hartley County,48205,1,1,TX-103902,236,20.51,41.04,43-Rural: Remote
HARTS BLUFF ISD,Texas,4822710,Titus County,48449,2,2,TX-225907,700,56.81,106.71,41-Rural: Fringe
HASKELL CISD,Texas,4822740,Haskell County,48207,3,3,TX-104901,550,63.66,110.80,33-Town: Remote
HAWKINS ISD,Texas,4822770,Wood County,48499,2,2,TX-250902,657,60.75,123.82,42-Rural: Distant
HAWLEY ISD,Texas,4822800,Jones County,48253,3,3,TX-127904,780,75.69,133.80,42-Rural: Distant
HAYS CISD,Texas,4800010,Hays County,48209,25,25,TX-105906,20322,1374.82,2831.52,41-Rural: Fringe
HEARNE ISD,Texas,4822830,Robertson County,48395,3,3,TX-198905,721,71.89,159.21,32-Town: Distant
HEDLEY ISD,Texas,4822850,Donley County,48129,1,1,TX-065902,113,17.35,27.82,43-Rural: Remote
HEMPHILL ISD,Texas,4822890,Sabine County,48403,3,3,TX-202903,879,76.00,154.00,43-Rural: Remote
HEMPSTEAD ISD,Texas,4822920,Waller County,48473,4,4,TX-237902,1511,117.47,246.90,32-Town: Distant
HENDERSON ISD,Texas,4822970,Rusk County,48401,5,5,TX-201902,3344,227.24,507.00,32-Town: Distant
HENRIETTA ISD,Texas,4822980,Clay County,48077,3,3,TX-039902,908,77.75,166.32,41-Rural: Fringe
HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,Texas,4801412,Bexar County,48029,1,1,TX-015833,102,6.00,10.63,11-City: Large
HEREFORD ISD,Texas,4823010,Deaf Smith County,48117,8,8,TX-059901,3868,289.62,587.10,32-Town: Distant
HERITAGE ACADEMY,Texas,4800080,Bexar County,48029,5,5,TX-015815,617,46.82,73.70,33-Town: Remote
HERMLEIGH ISD,Texas,4823040,Scurry County,48415,1,3,TX-208901,265,21.41,40.71,42-Rural: Distant
HICO ISD,Texas,4823070,Hamilton County,48193,2,2,TX-097903,569,53.11,89.05,43-Rural: Remote
HIDALGO ISD,Texas,4823100,Hidalgo County,48215,7,8,TX-108905,2996,218.88,509.14,21-Suburb: Large
HIGH ISLAND ISD,Texas,4823160,Galveston County,48167,1,1,TX-084903,171,16.24,37.55,43-Rural: Remote
HIGH POINT ACADEMY,TEXAS,4801450,Tarrant County,48439,3,3,TX-220819,1588,121.53,179.55,21-Suburb: Large
HIGHLAND ISD,Texas,4823190,Nolan County,48353,1,1,TX-177905,218,22.00,44.00,42-Rural: Distant
HIGHLAND PARK ISD,Texas,4823250,Dallas County,48113,8,10,TX-057911,6648,455.03,857.83,21-Suburb: Large
HIGHLAND PARK ISD,Texas,4835560,Potter County,48375,3,3,TX-188903,886,66.71,127.02,41-Rural: Fringe
HILLSBORO ISD,Texas,4823280,Hill County,48217,6,6,TX-109904,1876,161.24,289.72,32-Town: Distant
HITCHCOCK ISD,Texas,4823310,Galveston County,48167,5,6,TX-084908,1644,114.53,294.63,22-Suburb: Mid-size
HOLLAND ISD,Texas,4823370,Bell County,48027,3,5,TX-014905,654,62.13,136.72,42-Rural: Distant
HOLLIDAY ISD,Texas,4823400,Archer County,48009,3,3,TX-005902,1069,79.00,134.57,42-Rural: Distant
HONDO ISD,Texas,4823430,Medina County,48325,4,4,TX-163904,1823,143.51,280.88,32-Town: Distant
HONEY GROVE ISD,Texas,4823460,Fannin County,48147,3,3,TX-074907,623,47.35,97.47,43-Rural: Remote
HOOKS ISD,Texas,4823490,Bowie County,48037,3,3,TX-019902,844,72.48,143.37,31-Town: Fringe
HORIZON MONTESSORI PUBLIC SCHOOLS,Texas,4800065,Hidalgo County,48215,4,4,TX-108802,1280,88.29,201.18,12-City: Mid-size
HOUSTON CLASSICAL CHARTER SCHOOL,TEXAS,4801469,Harris County,48201,1,1,TX-101878,55,3.00,5.00,21-Suburb: Large
HOUSTON GATEWAY ACADEMY INC,Texas,4800118,Harris County,48201,3,3,TX-101828,2234,104.00,162.00,11-City: Large
HOUSTON HEIGHTS HIGH SCHOOL,Texas,4800115,Harris County,48201,1,1,TX-101821,178,16.34,19.57,11-City: Large
HOUSTON ISD,Texas,4823640,Harris County,48201,276,277,TX-101912,196943,11750.11,25017.55,11-City: Large
HOWE ISD,Texas,4823670,Grayson County,48181,4,6,TX-091905,1224,94.90,173.05,41-Rural: Fringe
HUBBARD ISD,Texas,4823700,Bowie County,48037,1,2,TX-019913,77,9.72,18.82,42-Rural: Distant
HUBBARD ISD,Texas,4823730,Hill County,48217,2,3,TX-109905,416,35.93,71.11,42-Rural: Distant
HUCKABAY ISD,Texas,4823760,Erath County,48143,1,2,TX-072908,284,24.48,41.49,42-Rural: Distant
HUDSON ISD,Texas,4823790,Angelina County,48005,5,5,TX-003902,2773,208.61,416.82,33-Town: Remote
HUFFMAN ISD,Texas,4823820,Harris County,48201,4,5,TX-101925,3439,225.65,476.89,41-Rural: Fringe
HUGHES SPRINGS ISD,Texas,4823850,Cass County,48067,3,3,TX-034903,1121,105.33,199.18,32-Town: Distant
HULL-DAISETTA ISD,Texas,4823880,Liberty County,48291,3,3,TX-146905,461,46.04,108.85,42-Rural: Distant
HUMBLE ISD,Texas,4823910,Harris County,48201,49,52,TX-101913,45528,3123.61,5912.35,21-Suburb: Large
HUNT ISD,Texas,4823970,Kerr County,48265,1,1,TX-133902,184,16.43,32.04,42-Rural: Distant
HUNTINGTON ISD,Texas,4824000,Angelina County,48005,5,5,TX-003904,1572,126.05,261.50,42-Rural: Distant
HUNTSVILLE ISD,Texas,4824030,Walker County,48471,11,11,TX-236902,10858,406.31,909.81,32-Town: Distant
HURST-EULESS-BEDFORD ISD,Texas,4824060,Tarrant County,48439,33,34,TX-220916,22962,1448.13,2654.03,21-Suburb: Large
HUTTO ISD,Texas,4824100,Williamson County,48491,12,14,TX-246906,8421,568.94,1147.44,21-Suburb: Large
IDALOU ISD,Texas,4824120,Lubbock County,48303,3,5,TX-152910,961,82.36,134.74,42-Rural: Distant
IDEA PUBLIC SCHOOLS,Texas,4800211,Hidalgo County,48215,111,111,TX-108807,62158,2892.34,6678.98,11-City: Large
IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS,Texas,4801429,Collin County,48085,1,1,TX-043801,1435,76.51,79.51,22-Suburb: Mid-size
INDUSTRIAL ISD,Texas,4824150,Jackson County,48239,4,4,TX-120905,1195,94.97,182.73,42-Rural: Distant
INGLESIDE ISD,Texas,4824180,San Patricio County,48409,5,5,TX-205903,2052,138.75,320.38,31-Town: Fringe
INGRAM ISD,Texas,4824210,Kerr County,48265,3,3,TX-133904,1102,87.33,179.82,41-Rural: Fringe
INSPIRE ACADEMIES,Texas,4800053,Bexar County,48029,6,8,TX-015808,575,36.91,88.62,11-City: Large
INSPIRED VISION ACADEMY,Texas,4800204,Dallas County,48113,2,2,TX-057830,1290,78.09,191.81,11-City: Large
INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),Texas,4801440,Dallas County,48113,33,33,TX-057848,20853,1263.88,2045.31,21-Suburb: Large
IOLA ISD,Texas,4824240,Grimes County,48185,2,2,TX-093903,535,48.82,87.08,42-Rural: Distant
IOWA PARK CISD,Texas,4824260,Wichita County,48485,4,5,TX-243903,1898,138.11,268.91,31-Town: Fringe
IRA ISD,Texas,4824300,Scurry County,48415,1,1,TX-208903,273,20.73,36.46,42-Rural: Distant
IRAAN-SHEFFIELD ISD,Texas,4824330,Pecos County,48371,3,3,TX-186903,338,26.48,62.82,43-Rural: Remote
IREDELL ISD,Texas,4824360,Bosque County,48035,1,1,TX-018906,145,17.00,26.30,43-Rural: Remote
IRION COUNTY ISD,Texas,4830360,Irion County,48235,2,2,TX-118902,323,31.00,59.00,42-Rural: Distant
IRVING ISD,Texas,4824420,Dallas County,48113,37,38,TX-057912,32682,2191.87,4256.65,12-City: Mid-size
ITALY ISD,Texas,4824450,Ellis County,48139,2,2,TX-070907,621,55.49,122.50,42-Rural: Distant
ITASCA ISD,Texas,4824480,Hill County,48217,3,4,TX-109907,616,51.57,108.39,42-Rural: Distant
JACKSBORO ISD,Texas,4824530,Jack County,48237,3,3,TX-119902,1062,84.50,160.41,33-Town: Remote
JACKSONVILLE ISD,Texas,4824590,Cherokee County,48073,8,8,TX-037904,4668,335.18,791.02,32-Town: Distant
JARRELL ISD,Texas,4824600,Williamson County,48491,4,7,TX-246907,2305,162.35,317.22,42-Rural: Distant
JASPER ISD,Texas,4824630,Jasper County,48241,4,4,TX-121904,2234,175.93,386.24,33-Town: Remote
JAYTON-GIRARD ISD,Texas,4824660,Kent County,48263,1,1,TX-132902,176,20.14,42.08,43-Rural: Remote
JEAN MASSIEU ACADEMY,Texas,4800098,Tarrant County,48439,1,1,TX-057819,195,14.15,23.91,11-City: Large
JEFFERSON ISD,Texas,4824730,Marion County,48315,4,4,TX-155901,1227,101.43,229.05,42-Rural: Distant
JIM HOGG COUNTY ISD,Texas,4824750,Jim Hogg County,48247,3,3,TX-124901,1142,80.66,165.99,33-Town: Remote
JIM NED CISD,Texas,4824780,Taylor County,48441,4,5,TX-221911,1414,104.27,212.42,42-Rural: Distant
JOAQUIN ISD,Texas,4824810,Shelby County,48419,3,3,TX-210902,671,52.41,104.92,43-Rural: Remote
JOHNSON CITY ISD,Texas,4824840,Blanco County,48031,3,3,TX-016901,614,57.23,112.33,42-Rural: Distant
JONESBORO ISD,Texas,4824900,Hamilton County,48193,1,1,TX-050909,313,24.90,50.96,43-Rural: Remote
JOSHUA ISD,Texas,4824930,Johnson County,48251,10,11,TX-126905,5490,404.83,776.53,41-Rural: Fringe
JOURDANTON ISD,Texas,4824960,Atascosa County,48013,5,6,TX-007902,1562,121.52,227.05,32-Town: Distant
JUBILEE ACADEMIES,Texas,4800179,Bexar County,48029,13,13,TX-015822,6166,371.82,885.15,11-City: Large
JUDSON ISD,Texas,4824990,Bexar County,48029,31,32,TX-015916,23825,1628.06,3056.10,21-Suburb: Large
JUNCTION ISD,Texas,4825020,Kimble County,48267,3,3,TX-134901,599,58.32,100.61,33-Town: Remote
KARNACK ISD,Texas,4825110,Harrison County,48203,1,1,TX-102901,143,12.90,35.74,42-Rural: Distant
KARNES CITY ISD,Texas,4825140,Karnes County,48255,5,6,TX-128901,1315,85.63,205.92,33-Town: Remote
KATHERINE ANNE PORTER SCHOOL,Texas,4800132,Hays County,48209,1,1,TX-105801,103,9.64,19.29,32-Town: Distant
KATY ISD,Texas,4825170,Fort Bend County,48157,73,75,TX-101914,84176,5881.77,11552.76,21-Suburb: Large
KAUFMAN ISD,Texas,4825200,Kaufman County,48257,7,7,TX-129903,4025,271.67,522.76,32-Town: Distant
KEENE ISD,Texas,4825230,Johnson County,48251,4,5,TX-126906,1082,87.50,152.78,31-Town: Fringe
KELLER ISD,Texas,4825260,Tarrant County,48439,41,43,TX-220907,34319,2508.67,4437.13,11-City: Large
KELTON ISD,Texas,4825290,Wheeler County,48483,1,1,TX-242905,119,13.01,20.01,43-Rural: Remote
KEMP ISD,Texas,4825320,Kaufman County,48257,5,5,TX-129904,1654,130.20,245.31,42-Rural: Distant
KENEDY COUNTY WIDE CSD,Texas,4825410,Kenedy County,48261,1,1,TX-131001,89,10.99,25.78,43-Rural: Remote
KENEDY ISD,Texas,4825440,Karnes County,48255,4,6,TX-128902,725,60.99,128.97,41-Rural: Fringe
KENNARD ISD,Texas,4825470,Houston County,48225,1,1,TX-113906,223,22.69,47.45,43-Rural: Remote
KENNEDALE ISD,Texas,4825500,Tarrant County,48439,7,7,TX-220914,2885,207.27,395.81,21-Suburb: Large
KERENS ISD,Texas,4825530,Navarro County,48349,1,1,TX-175907,570,48.62,104.67,43-Rural: Remote
KERMIT ISD,Texas,4825560,Winkler County,48495,3,3,TX-248901,1275,94.25,217.37,32-Town: Distant
KERRVILLE ISD,Texas,4825590,Kerr County,48265,9,9,TX-133903,4781,313.06,652.21,33-Town: Remote
KI CHARTER ACADEMY,TEXAS,4801447,Hays County,48209,2,2,TX-105803,276,34.05,73.08,13-City: Small
KILGORE ISD,Texas,4825620,Gregg County,48183,5,6,TX-092902,3948,265.82,543.24,31-Town: Fringe
KILLEEN ISD,Texas,4825660,Bell County,48027,58,61,TX-014906,43838,2783.97,6174.34,12-City: Mid-size
KINGSVILLE ISD,Texas,4825680,Kleberg County,48273,8,9,TX-137901,2861,210.70,482.15,32-Town: Distant
KIPP TEXAS PUBLIC SCHOOLS,Texas,4800264,Harris County,48201,58,58,TX-227820,31200,1612.94,3379.01,11-City: Large
KIRBYVILLE CISD,Texas,4825710,Jasper County,48241,3,3,TX-121905,1401,108.00,214.02,43-Rural: Remote
KLEIN ISD,Texas,4825740,Harris County,48201,52,53,TX-101915,52824,3617.09,7303.63,21-Suburb: Large
KLONDIKE ISD,Texas,4825790,Dawson County,48115,1,1,TX-058905,264,23.56,44.87,43-Rural: Remote
KNIPPA ISD,Texas,4825800,Uvalde County,48463,1,1,TX-232901,456,31.62,56.65,42-Rural: Distant
KNOX CITY-O'BRIEN CISD,Texas,4825870,Knox County,48275,1,1,TX-138902,239,29.34,61.39,43-Rural: Remote
KOPPERL ISD,Texas,4825890,Bosque County,48035,1,1,TX-018907,184,18.27,36.34,43-Rural: Remote
KOUNTZE ISD,Texas,4825920,Hardin County,48199,5,5,TX-100903,1086,87.55,186.15,42-Rural: Distant
KRESS ISD,Texas,4825950,Swisher County,48437,2,2,TX-219905,277,25.30,53.79,42-Rural: Distant
KRUM ISD,Texas,4825980,Denton County,48121,6,6,TX-061905,2101,162.04,316.81,31-Town: Fringe
LA ACADEMIA DE ESTRELLAS,Texas,4800270,Dallas County,48113,2,2,TX-057839,1017,60.95,136.14,11-City: Large
LA FE PREPARATORY SCHOOL,Texas,4800286,El Paso County,48141,1,1,TX-071807,180,18.00,33.00,11-City: Large
LA FERIA ISD,Texas,4826040,Cameron County,48061,7,8,TX-031905,3094,214.72,482.73,22-Suburb: Mid-size
LA GLORIA ISD,Texas,4826070,Jim Wells County,48249,1,1,TX-125906,106,7.51,16.51,42-Rural: Distant
LA GRANGE ISD,Texas,4826100,Fayette County,48149,3,3,TX-075902,1876,141.10,244.51,33-Town: Remote
LA JOYA ISD,Texas,4826130,Hidalgo County,48215,38,39,TX-108912,26638,1886.46,4175.63,21-Suburb: Large
LA PORTE ISD,Texas,4826190,Harris County,48201,13,14,TX-101916,6999,482.92,1068.95,21-Suburb: Large
LA PRYOR ISD,Texas,4826250,Zavala County,48507,2,2,TX-254902,527,46.17,89.02,43-Rural: Remote
LA VEGA ISD,Texas,4826280,McLennan County,48309,5,6,TX-161906,3069,213.98,477.57,22-Suburb: Mid-size
LA VERNIA ISD,Texas,4826310,Wilson County,48493,5,6,TX-247903,3223,212.79,445.00,42-Rural: Distant
LA VILLA ISD,Texas,4826340,Hidalgo County,48215,3,3,TX-108914,597,44.26,93.70,21-Suburb: Large
LACKLAND ISD,Texas,4826370,Bexar County,48029,2,3,TX-015913,890,88.49,186.33,21-Suburb: Large
LAGO VISTA ISD,Texas,4826400,Travis County,48453,4,5,TX-227912,1625,106.13,182.06,31-Town: Fringe
LAKE DALLAS ISD,Texas,4826430,Denton County,48121,5,6,TX-061912,3871,291.61,582.31,21-Suburb: Large
LAKE GRANBURY ACADEMY CHARTER SCHOOL,TEXAS,4801464,Hood County,48221,1,1,TX-111801,71,4.87,7.01,41-Rural: Fringe
LAKE TRAVIS ISD,Texas,4826470,Travis County,48453,11,12,TX-227913,11001,669.87,1231.70,21-Suburb: Large
LAKE WORTH ISD,Texas,4826490,Tarrant County,48439,7,8,TX-220910,3311,254.93,540.32,11-City: Large
LAMAR CISD,Texas,4826580,Fort Bend County,48157,42,44,TX-079901,36519,2299.32,4427.93,21-Suburb: Large
LAMESA ISD,Texas,4826610,Dawson County,48115,1,1,TX-058906,1729,116.74,300.76,33-Town: Remote
LAMPASAS ISD,Texas,4826640,Lampasas County,48281,5,5,TX-141901,3416,246.50,546.46,41-Rural: Fringe
LANCASTER ISD,Texas,4826670,Dallas County,48113,10,11,TX-057913,7176,435.12,876.34,21-Suburb: Large
LANEVILLE ISD,Texas,4826700,Rusk County,48401,1,1,TX-201903,163,18.03,36.07,42-Rural: Distant
LAPOYNOR ISD,Texas,4826220,Henderson County,48213,3,3,TX-107910,474,38.81,76.23,42-Rural: Distant
LAREDO ISD,Texas,4826790,Webb County,48479,30,30,TX-240901,22041,1489.18,3692.40,11-City: Large
LASARA ISD,Texas,4826850,Willacy County,48489,2,2,TX-245901,313,28.06,68.83,42-Rural: Distant
LATEXO ISD,Texas,4826910,Houston County,48225,2,2,TX-113905,464,43.54,73.34,42-Rural: Distant
LAZBUDDIE ISD,Texas,4826970,Parmer County,48369,1,1,TX-185904,182,18.53,36.81,43-Rural: Remote
LEADERSHIP PREP SCHOOL,Texas,4801420,Denton County,48121,2,2,TX-061804,1347,69.99,109.28,21-Suburb: Large
LEAKEY ISD,Texas,4827000,Real County,48385,1,1,TX-193902,286,26.45,53.55,43-Rural: Remote
LEANDER ISD,Texas,4827030,Williamson County,48491,47,50,TX-246913,40355,2918.41,5262.49,21-Suburb: Large
LEARN4LIFE-AUSTIN,TEXAS,4801478,Travis County,48453,="0",1,TX-227830,†,†,†,11-City: Large
LEARY ISD,Texas,4827060,Bowie County,48037,1,1,TX-019914,103,10.98,18.95,41-Rural: Fringe
LEFORS ISD,Texas,4827090,Gray County,48179,1,1,TX-090902,169,18.86,33.07,42-Rural: Distant
LEGACY PREPARATORY,Texas,4801428,Dallas County,48113,2,2,TX-057846,1513,103.80,174.84,21-Suburb: Large
LEGACY SCHOOL OF SPORT SCIENCES,TEXAS,4801459,Harris County,48201,1,1,TX-101874,392,29.77,45.37,21-Suburb: Large
LEGGETT ISD,Texas,4827120,Polk County,48373,2,2,TX-187906,204,16.00,33.95,42-Rural: Distant
LEON ISD,Texas,4827180,Leon County,48289,2,2,TX-145911,735,60.14,115.78,43-Rural: Remote
LEONARD ISD,Texas,4827210,Fannin County,48147,4,4,TX-074909,831,64.37,131.79,42-Rural: Distant
LEVELLAND ISD,Texas,4827240,Hockley County,48219,6,6,TX-110902,2799,222.93,445.42,32-Town: Distant
LEVERETTS CHAPEL ISD,Texas,4827270,Rusk County,48401,3,3,TX-201904,237,25.99,46.67,42-Rural: Distant
LEWISVILLE ISD,Texas,4827300,Denton County,48121,64,67,TX-061902,49361,3691.70,6363.81,21-Suburb: Large
LEXINGTON ISD,Texas,4827330,Lee County,48287,3,3,TX-144902,1059,81.76,149.39,43-Rural: Remote
LIBERTY HILL ISD,Texas,4827420,Williamson County,48491,9,11,TX-246908,5539,369.36,694.71,41-Rural: Fringe
LIBERTY ISD,Texas,4827450,Liberty County,48291,4,4,TX-146906,2227,147.31,384.69,41-Rural: Fringe
LIBERTY-EYLAU ISD,Texas,4827390,Bowie County,48037,4,4,TX-019908,2282,199.96,411.10,13-City: Small
LIFE SCHOOL,Texas,4800055,Ellis County,48139,8,8,TX-057807,5547,342.04,640.00,21-Suburb: Large
LIGHTHOUSE PUBLIC SCHOOLS,Texas,4800246,Bexar County,48029,2,2,TX-015825,323,18.99,36.96,11-City: Large
LINDALE ISD,Texas,4827510,Smith County,48423,6,6,TX-212903,4148,293.30,650.69,31-Town: Fringe
LINDEN-KILDARE CISD,Texas,4827540,Cass County,48067,3,3,TX-034905,626,66.67,130.99,43-Rural: Remote
LINDSAY ISD,Texas,4827570,Cooke County,48097,2,2,TX-049907,489,42.33,67.03,42-Rural: Distant
LINGLEVILLE ISD,Texas,4827600,Erath County,48143,1,1,TX-072909,278,27.00,51.09,42-Rural: Distant
LIPAN ISD,Texas,4827630,Hood County,48221,2,2,TX-111902,413,38.71,66.87,43-Rural: Remote
LITTLE CYPRESS-MAURICEVILLE CISD,Texas,4827690,Orange County,48361,6,6,TX-181908,3194,234.33,488.36,22-Suburb: Mid-size
LITTLE ELM ISD,Texas,4827720,Denton County,48121,9,12,TX-061914,8108,489.60,919.82,21-Suburb: Large
LITTLEFIELD ISD,Texas,4827750,Lamb County,48279,4,4,TX-140904,1268,95.81,199.69,32-Town: Distant
LIVINGSTON ISD,Texas,4827780,Polk County,48373,7,7,TX-187907,3804,270.54,517.34,41-Rural: Fringe
LLANO ISD,Texas,4827810,Llano County,48299,4,4,TX-150901,1731,138.95,286.42,41-Rural: Fringe
LOCKHART ISD,Texas,4827870,Caldwell County,48055,9,9,TX-028902,6043,385.23,730.20,31-Town: Fringe
LOCKNEY ISD,Texas,4827890,Floyd County,48153,3,4,TX-077902,456,41.63,90.42,43-Rural: Remote
LOHN ISD,Texas,4827930,McCulloch County,48307,1,1,TX-160905,102,13.95,27.47,43-Rural: Remote
LOMETA ISD,Texas,4827960,Lampasas County,48281,2,2,TX-141902,316,27.86,57.45,43-Rural: Remote
LONDON ISD,Texas,4827990,Nueces County,48355,4,4,TX-178906,1280,84.24,149.92,41-Rural: Fringe
LONE OAK ISD,Texas,4828020,Hunt County,48231,3,3,TX-116906,967,77.52,155.64,42-Rural: Distant
LONE STAR LANGUAGE ACADEMY,TEXAS,4801452,Collin County,48085,1,1,TX-043802,206,15.86,19.85,11-City: Large
LONGVIEW ISD,Texas,4828110,Gregg County,48183,15,15,TX-092903,8254,608.60,1232.68,13-City: Small
LOOP ISD,Texas,4828140,Gaines County,48165,1,1,TX-083902,146,17.25,32.49,43-Rural: Remote
LORAINE ISD,Texas,4828170,Mitchell County,48335,1,1,TX-168902,143,18.18,36.61,42-Rural: Distant
LORENA ISD,Texas,4828200,McLennan County,48309,4,5,TX-161907,1741,124.95,248.13,41-Rural: Fringe
LORENZO ISD,Texas,4828230,Crosby County,48107,1,1,TX-054902,229,24.49,73.47,42-Rural: Distant
LOS FRESNOS CISD,Texas,4828290,Cameron County,48061,15,15,TX-031906,10529,665.91,1546.28,22-Suburb: Mid-size
LOUISE ISD,Texas,4828350,Wharton County,48481,3,3,TX-241906,493,42.38,79.74,42-Rural: Distant
LOVEJOY ISD,Texas,4828380,Collin County,48085,6,8,TX-043919,4206,285.58,590.94,21-Suburb: Large
LOVELADY ISD,Texas,4828410,Houston County,48225,2,2,TX-113903,512,49.41,86.24,43-Rural: Remote
LUBBOCK ISD,Texas,4828500,Lubbock County,48303,50,50,TX-152901,26451,2003.97,3475.34,11-City: Large
LUBBOCK-COOPER ISD,Texas,4815180,Lubbock County,48303,10,10,TX-152906,7115,547.78,975.92,41-Rural: Fringe
LUEDERS-AVOCA ISD,Texas,4828530,Jones County,48253,2,2,TX-127905,107,17.21,30.38,42-Rural: Distant
LUFKIN ISD,Texas,4828550,Angelina County,48005,17,18,TX-003903,7432,592.97,1320.52,33-Town: Remote
LULING ISD,Texas,4828590,Caldwell County,48055,4,4,TX-028903,1418,95.49,187.23,32-Town: Distant
LUMBERTON ISD,Texas,4813530,Hardin County,48199,5,6,TX-100907,4144,275.87,516.03,22-Suburb: Mid-size
LUMIN EDUCATION,Texas,4800089,Dallas County,48113,1,1,TX-057805,256,18.38,51.76,11-City: Large
LYFORD CISD,Texas,4828620,Willacy County,48489,4,4,TX-245902,1449,100.22,260.76,32-Town: Distant
LYTLE ISD,Texas,4828650,Atascosa County,48013,5,6,TX-007904,1760,135.05,305.44,41-Rural: Fringe
MABANK ISD,Texas,4828680,Kaufman County,48257,6,6,TX-129905,3544,252.97,529.20,32-Town: Distant
MADISONVILLE CISD,Texas,4828710,Madison County,48313,4,4,TX-154901,2294,171.22,310.35,32-Town: Distant
MAGNOLIA ISD,Texas,4828740,Montgomery County,48339,17,17,TX-170906,13122,870.52,1711.62,41-Rural: Fringe
MALAKOFF ISD,Texas,4828780,Henderson County,48213,6,6,TX-107906,1361,111.61,240.08,33-Town: Remote
MALONE ISD,Texas,4828800,Hill County,48217,1,2,TX-109908,165,13.57,31.68,42-Rural: Distant
MALTA ISD,Texas,4828830,Bowie County,48037,1,1,TX-019910,219,16.91,26.20,42-Rural: Distant
MANARA ACADEMY,Texas,4801415,Dallas County,48113,3,3,TX-057844,659,50.51,64.75,12-City: Mid-size
MANOR ISD,Texas,4828890,Travis County,48453,15,17,TX-227907,9238,638.77,1331.38,41-Rural: Fringe
MANSFIELD ISD,Texas,4828920,Tarrant County,48439,44,48,TX-220908,35127,2273.90,4364.00,21-Suburb: Large
MARATHON ISD,Texas,4828980,Brewster County,48043,1,1,TX-022902,60,12.00,18.91,43-Rural: Remote
MARBLE FALLS ISD,Texas,4829010,Burnet County,48053,7,7,TX-027904,4099,314.95,678.62,32-Town: Distant
MARFA ISD,Texas,4829040,Presidio County,48377,1,1,TX-189901,294,29.98,60.63,43-Rural: Remote
MARION ISD,Texas,4829100,Guadalupe County,48187,5,5,TX-094904,1483,116.37,201.20,21-Suburb: Large
MARLIN ISD,Texas,4829130,Falls County,48145,3,3,TX-073903,881,67.71,191.30,32-Town: Distant
MARSHALL ISD,Texas,4829160,Harrison County,48203,8,8,TX-102902,5064,359.05,764.09,32-Town: Distant
MART ISD,Texas,4829190,McLennan County,48309,3,4,TX-161908,541,42.72,78.80,42-Rural: Distant
