Table 1
"Report 2: School Reported COVID-19 Cases in Public Schools, July 27, 2020 - January 10, 2021, Texas",,,,,,,,,,,,,,,,,
"Current Report Period: January 4, 2021 - January 10, 2021",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,Current Report Period,,,,,Cumulative Reports,,,,
,,,,,,,,,,"School Reported Source
of Infection",,,,,"School Reported Source
of Infection",,
District Name,"District
LEA
Number","Total District
Enrollment as
of October 30,
2020","Approximate
District On Campus
Enrollment as of
October 30, 2020",Campus Name,"Campus
ID","Total School
Enrollment as
of October
30, 2020","On-Campus
Enrollment for
School as of
October 30, 2020","New
Student
Cases","New
Staff
Cases","On
DIBOLL ISD,'003905,1675,1524,,"Multiple
Campus",NR,NR,,,,,,2,6,0,2,6
DIBOLL ISD,'003905,1675,1524,DIBOLL J H,'003905041,400,375,,,,,,11,2,0,7,6
DIBOLL ISD,'003905,1675,1524,DIBOLL H S,'003905001,499,429,,,,,,35,5,3,14,23
DIBOLL ISD TOTAL,'003905,1675,1524,,,1675,1524,,,,,,57,22,3,28,48
ZAVALLA ISD,'003906,305,299,STUBBLEFIELD LRN CTR,'003906004,NR,NR,,,,,,,,,,
ZAVALLA ISD,'003906,305,299,ZAVALLA H S,'003906001,157,151,,,,,,*,0,*,*,*
ZAVALLA ISD,'003906,305,299,ZAVALLA EL,'003906101,148,148,,,,,,0,1,1,0,0
ZAVALLA ISD,'003906,305,299,,"Multiple
Campus",NR,NR,,,,,,1,2,0,2,1
ZAVALLA ISD TOTAL,'003906,305,299,,,305,299,,,,,,*,3,*,*,*
CENTRAL ISD,'003907,1443,1322,STUBBLEFIELD LRN CTR,'003907004,2,2,,,,,,,,,,
CENTRAL ISD,'003907,1443,1322,CENTRAL H S,'003907001,391,339,,,,,,*,5,*,*,*
CENTRAL ISD,'003907,1443,1322,CENTRAL J H,'003907041,435,400,,,,,,*,5,*,*,*
CENTRAL ISD,'003907,1443,1322,CENTRAL EL,'003907102,615,581,,,,,,*,0,*,*,*
CENTRAL ISD TOTAL,'003907,1443,1322,,,1443,1322,,,,,,*,10,*,*,*
ARANSAS COUNTY ISD,'004901,3010,2273,FULTON LEARNING CENTER,'004901101,675,524,,,,,,*,0,*,*,*
ARANSAS COUNTY ISD,'004901,3010,2273,,"Multiple
Campus",NR,NR,,,,,,0,1,0,0,1
ARANSAS COUNTY ISD,'004901,3010,2273,ROCKPORT-FULTON MIDDLE,'004901041,709,560,0,1,0,0,1,6,3,0,0,9
ARANSAS COUNTY ISD,'004901,3010,2273,LIVE OAK LEARNING CENTER,'004901103,704,569,,,,,,8,2,0,4,6
ARANSAS COUNTY ISD,'004901,3010,2273,ROCKPORT-FULTON H S,'004901001,922,620,*,0,*,*,*,13,4,0,3,14
ARANSAS COUNTY ISD TOTAL,'004901,3010,2273,,,3010,2273,*,1,*,*,*,*,10,*,*,*
ARCHER CITY ISD,'005901,502,488,ARCHER CITY EL,'005901101,263,256,,,,,,0,2,0,2,0
ARCHER CITY ISD,'005901,502,488,ARCHER CITY H S,'005901001,239,232,,,,,,12,2,0,5,9
ARCHER CITY ISD TOTAL,'005901,502,488,,,502,488,,,,,,12,4,0,7,9
HOLLIDAY ISD,'005902,1042,978,HOLLIDAY MIDDLE,'005902041,260,248,,,,,,*,3,*,*,*
HOLLIDAY ISD,'005902,1042,978,,"Multiple
Campus",NR,NR,,,,,,0,1,0,0,1
HOLLIDAY ISD,'005902,1042,978,HOLLIDAY EL,'005902101,458,418,,,,,,9,3,0,0,12
