Table 1
"Report 2: School Reported COVID-19 Cases in Public Schools, July 27, 2020 - October 25, 2020, Texas",,,,,,,,,,,,,,,,,
"Current Report Period: October 19, 2020 - October 25, 2020",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,Current Report Period,,,,,,,Cumulative Reports,,,,,,
,,,,,,,,"School Reported Source
of Infection",,,,,,,"School Reported Source
BRIDGEPORT ISD,'249903,2172,1655,,,,,,,,0,1,2,0,0,2,1
"BRIDGEWAY PREPARATORY
ACADEMY",'057851,101,62,,,,,,,,,,,,,,
BROADDUS ISD,'203902,372,289,0,0,1,1,0,1,1,0,0,1,1,0,1,1
BROCK ISD,'184909,1769,1762,1,0,4,1,0,3,3,1,0,19,6,0,7,19
BRONTE ISD,'041901,245,233,,,,,,,,0,0,1,0,0,0,1
BROOKELAND ISD,'121902,367,350,,,,,,,,,,,,,,
BROOKESMITH ISD,'025908,168,131,,,,,,,,1,0,0,0,0,0,1
BROOKS ACADEMIES OF TEXAS,'015830,3047,846,,,,,,,,0,1,0,1,0,2,0
BROOKS COUNTY ISD,'024901,1438,628,,,,,,,,7,2,9,2,0,20,0
BROWNFIELD ISD,'223901,1643,1341,,,,,,,,3,4,5,5,0,16,1
BROWNSBORO ISD,'107902,2612,2126,,,,,,,,1,2,12,11,0,3,23
BROWNSVILLE ISD,'031901,40121,283,3,1,7,3,0,12,2,22,13,31,132,65,103,30
BROWNWOOD ISD,'025902,3437,2951,,,,,,,,7,1,24,11,0,30,13
BRUCEVILLE-EDDY ISD,'161919,616,469,0,0,1,0,0,0,1,0,0,5,1,0,0,6
BRYAN ISD,'021902,15715,11141,2,1,11,4,0,0,18,19,9,48,40,0,0,116
BRYSON ISD,'119901,255,253,,,,,,,,0,0,1,0,0,0,1
BUCKHOLTS ISD,'166907,145,124,,,,,,,,,,,,,,
BUENA VISTA ISD,'186901,245,185,,,,,,,,,,,,,,
BUFFALO ISD,'145901,930,892,0,0,1,0,0,0,1,0,1,2,1,0,2,2
BULLARD ISD,'212902,2676,2478,0,0,2,2,0,2,2,9,5,27,45,7,17,62
BUNA ISD,'121903,1483,1338,,,,,,,,1,0,0,3,0,0,4
BURKBURNETT ISD,'243901,3167,2618,0,0,3,0,0,1,2,0,3,17,3,0,14,9
BURKEVILLE ISD,'176901,272,237,,,,,,,,,,,,,,
BURLESON ISD,'126902,12467,7513,2,3,5,11,0,20,1,10,8,57,35,16,80,14
BURNET CISD,'027903,3081,2475,1,1,0,6,0,6,2,2,3,2,9,0,14,2
"BURNHAM WOOD CHARTER
SCHOOL DISTRICT",'071801,1263,498,1,1,2,1,0,4,1,1,2,2,2,0,5,2
BURTON ISD,'239903,486,458,,,,,,,,,,,,,,
BUSHLAND ISD,'188904,1449,1385,0,0,3,2,0,0,5,3,1,19,12,0,0,35
BYNUM ISD,'109902,190,172,,,,,,,,0,0,2,0,0,1,1
CADDO MILLS ISD,'116901,1995,1764,,,,,,,,0,1,4,6,0,11,0
CALALLEN ISD,'178903,3941,2199,,,,,,,,3,2,1,14,3,17,0
CALDWELL ISD,'026901,1720,1384,2,1,3,2,0,4,4,2,2,25,10,0,5,34
CALHOUN COUNTY ISD,'029901,3563,2869,,,,,,,,2,2,16,19,2,37,0
CALLISBURG ISD,'049905,1116,972,0,0,5,5,0,1,9,0,2,7,6,0,3,12
CALVERT ISD,'198902,142,131,,,,,,,,0,0,0,1,0,1,0
