Table 1
"Report 2: School Reported COVID-19 Cases in Public Schools, July 27, 2020 -  November 17, 2020, Texas",,,,,,,,,,,,,,,,,
"Current Report Period:  November 9, 2020-  November 15, 2020",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,Current Report Period,,,,,,,Cumulative Reports,,,,,,
,,,,,,,,"School Reported Source
of Infection",,,,,,,"School Reported Source
CHINA SPRING ISD,'161920,2873,2467,4,1,3,5,0,3,10,12,5,24,19,0,34,26
CHIRENO ISD,'174901,394,369,,,,,,,,2,0,10,9,5,6,10
CHISUM ISD,'139905,1062,1012,4,0,3,0,0,7,0,6,1,12,13,0,32,0
CHRISTOVAL ISD,'226901,566,542,,,,,,,,0,0,2,1,0,0,3
CISCO ISD,'067902,840,799,,,,,,,,0,0,11,9,0,13,7
CITY VIEW ISD,'243906,1022,977,2,1,1,1,0,0,5,3,7,4,3,0,4,13
CITYSCAPE SCHOOLS,'057841,1212,618,,,,,,,,3,1,0,6,0,7,3
CLARENDON ISD,'065901,441,435,0,0,1,0,0,1,0,5,2,7,4,3,15,0
CLARKSVILLE ISD,'194904,473,344,,,,,,,,1,1,1,7,0,9,1
CLAUDE ISD,'006902,316,269,,,,,,,,0,0,2,4,0,1,5
CLEAR CREEK ISD,'084910,40724,30427,0,0,0,1,1,0,0,27,17,63,38,14,64,67
CLEBURNE ISD,'126903,6895,5904,5,3,23,15,0,0,46,13,12,57,42,0,7,117
CLEVELAND ISD,'146901,8844,6285,1,0,10,6,0,15,2,4,2,22,23,0,49,2
CLIFTON ISD,'018901,962,866,0,1,0,0,0,1,0,1,4,3,1,0,5,4
CLINT ISD,'071901,10679,0,,,,,,,,*,*,*,*,*,*,*
CLYDE CISD,'030902,1395,1269,0,0,2,4,0,0,6,0,2,7,6,0,0,15
COAHOMA ISD,'114902,1096,961,2,1,1,5,0,0,9,3,2,6,16,0,14,13
COLDSPRING-OAKHURST CISD,'204901,1530,1232,0,0,1,1,0,0,2,4,0,4,5,0,1,12
COLEMAN ISD,'042901,842,781,0,0,2,8,0,2,8,0,0,5,11,0,6,10
COLLEGE STATION ISD,'021901,13669,11041,10,4,24,11,0,0,49,36,16,71,62,0,3,182
COLLINSVILLE ISD,'091902,539,472,0,0,2,0,0,0,2,0,0,15,7,2,3,17
COLMESNEIL ISD,'229901,435,420,0,0,0,1,0,1,0,0,0,0,2,0,2,0
COLORADO ISD,'168901,901,822,,,,,,,,0,1,4,1,0,1,5
COLUMBIA-BRAZORIA ISD,'020907,2874,2211,0,2,0,2,2,2,0,5,6,7,2,2,18,0
COLUMBUS ISD,'045902,1526,1417,,,,,,,,0,1,1,4,0,4,2
COMAL ISD,'046902,25550,19447,7,6,49,12,0,74,0,26,18,139,49,3,183,46
COMANCHE ISD,'047901,1317,1223,3,0,0,1,0,2,2,5,2,13,15,1,31,3
COMFORT ISD,'130902,1064,958,0,1,1,1,0,0,3,2,1,2,4,1,3,5
COMMERCE ISD,'116903,1460,1173,1,1,0,0,0,0,2,3,3,17,10,5,11,17
COMMUNITY ISD,'043918,2752,1983,1,2,2,2,0,7,0,1,14,29,22,2,33,31
COMO-PICKTON CISD,'112908,702,700,,,,,,,,0,5,19,6,13,8,9
"COMPASS ACADEMY CHARTER
SCHOOL",'068802,1322,1312,0,4,12,5,0,10,11,1,10,51,17,2,31,46
COMPASS ROSE ACADEMY,'015838,1155,291,,,,,,,,,,,,,,
