District #,CARES ESSER I 20,CRRSA ESSER II 21,ARP ESSER III 21,ESSER-SUPP 22,ESSER-SUPP 23
224901,36068.0,151581.0,340539.0,0.0,0.0
158902,191807.0,874786.0,1965280.0,0.0,0.0
210905,229012.0,997237.0,2240376.0,0.0,0.0
91907,30092.0,173808.0,390474.0,28544.0,28545.0
111903,95362.0,365164.0,820372.0,0.0,0.0
91918,72275.0,319729.0,718297.0,0.0,0.0
101921,858008.0,3474883.0,7806614.0,1528838.0,1528839.0
71908,442631.0,1802125.0,4048624.0,0.0,0.0
221905,25047.0,145500.0,326877.0,0.0,0.0
74912,73375.0,285520.0,641444.0,0.0,0.0
107907,45248.0,223815.0,502818.0,0.0,0.0
57813,1010344.0,4705781.0,10571930.0,0.0,0.0
46802,312413.0,1278623.0,2872534.0,0.0,0.0
228903,346617.0,1474731.0,3313107.0,0.0,0.0
71803,69843.0,284033.0,638103.0,0.0,0.0
240801,154637.0,587606.0,1320105.0,0.0,0.0
152803,85848.0,309046.0,694298.0,0.0,0.0
108804,139423.0,701058.0,1574986.0,0.0,0.0
212904,193122.0,813753.0,1828163.0,0.0,0.0
14910,153159.0,628845.0,1412753.0,0.0,0.0
219903,304271.0,1299166.0,2918685.0,0.0,0.0
178912,596522.0,2521838.0,5665520.0,0.0,0.0
96905,81935.0,313861.0,705115.0,0.0,0.0
101840,120605.0,501987.0,1127755.0,0.0,0.0
212905,4446624.0,19978515.0,44883403.0,0.0,0.0
57845,57700.0,443686.0,996779.0,0.0,0.0
230908,108136.0,403473.0,906436.0,0.0,0.0
230904,67806.0,303393.0,681597.0,0.0,0.0
240903,14113956.0,56787934.0,127578835.0,0.0,0.0
57808,193102.0,702144.0,1577426.0,0.0,0.0
101807,25282.0,0.0,0.0,0.0,0.0
227819,53491.0,225008.0,505498.0,0.0,0.0
227806,469209.0,1823921.0,40975.0,0.0,0.0
57803,5248754.0,23781674.0,53427516.0,0.0,0.0
212804,42219.0,267677.0,601358.0,0.0,0.0
232904,50957.0,206286.0,463438.0,0.0,0.0
68803,40132.0,61307.0,137732.0,341496.0,341495.0
232903,1888586.0,7199589.0,16174478.0,0.0,0.0
122902,2084.0,32595.0,73227.0,0.0,0.0
18904,84899.0,423909.0,952347.0,0.0,0.0
49903,75783.0,400823.0,900483.0,0.0,0.0
108916,1678787.0,6998980.0,15723793.0,0.0,0.0
227829,69526.0,286084.0,642712.0,133742.0,133741.0
91908,101161.0,441638.0,992177.0,68030.0,68031.0
234906,414129.0,1682474.0,3779819.0,0.0,0.0
158906,149189.0,599758.0,1347407.0,0.0,0.0
108808,1209826.0,5847181.0,13136181.0,0.0,0.0
180902,24621.0,100645.0,226108.0,0.0,0.0
126908,271685.0,1176862.0,2643919.0,0.0,0.0
226908,42326.0,233137.0,523762.0,0.0,0.0
244903,368057.0,1495398.0,3359536.0,0.0,0.0
235902,2910099.0,12645599.0,28409395.0,0.0,0.0
181907,757886.0,3287763.0,7386234.0,0.0,0.0
57847,71121.0,407319.0,915076.0,129710.0,129710.0
71809,58556.0,268385.0,602950.0,0.0,0.0
161801,88344.0,364209.0,818225.0,0.0,0.0
161914,5141998.0,22232714.0,49947648.0,0.0,0.0
89905,72596.0,305999.0,687452.0,0.0,0.0
59902,21004.0,92041.0,206778.0,0.0,0.0
226906,66764.0,328426.0,737837.0,0.0,0.0
237904,983086.0,4399198.0,9883165.0,0.0,0.0
49908,11493.0,57789.0,129828.0,0.0,0.0
18905,84935.0,379940.0,853567.0,0.0,0.0
229904,172138.0,918097.0,2062581.0,0.0,0.0
102903,129823.0,803438.0,1804990.0,0.0,0.0
226905,40470.0,304388.0,683834.0,0.0,0.0
70801,1024672.0,4326764.0,9720436.0,0.0,0.0
70912,876062.0,3940378.0,8852388.0,0.0,0.0
227803,390275.0,1828589.0,4108077.0,0.0,0.0
184903,955393.0,3957442.0,8890725.0,0.0,0.0
240904,157242.0,685481.0,1539990.0,0.0,0.0
45905,93078.0,406704.0,913695.0,0.0,0.0
44902,155050.0,591054.0,1327852.0,0.0,0.0
223904,89823.0,374059.0,840355.0,0.0,0.0
37909,95083.0,417744.0,938497.0,0.0,0.0
108913,6881089.0,28143334.0,63226351.0,0.0,0.0
100908,31600.0,156616.0,351852.0,97484.0,97484.0
161916,171470.0,742037.0,1667048.0,0.0,0.0
181906,921655.0,3871028.0,8696588.0,0.0,0.0
178915,589799.0,2434582.0,5469492.0,0.0,0.0
201914,211679.0,909790.0,2043920.0,0.0,0.0
202905,116560.0,583386.0,1310624.0,0.0,0.0
168903,27424.0,179511.0,403288.0,0.0,0.0
62905,26986.0,116931.0,262695.0,0.0,0.0
73904,13878.0,40634.0,91288.0,0.0,0.0
1908,312661.0,1125552.0,2528647.0,0.0,0.0
241904,475092.0,1907579.0,4285535.0,0.0,0.0
242903,67839.0,293108.0,658491.0,0.0,0.0
33904,29602.0,121816.0,273670.0,0.0,0.0
92908,237478.0,1007291.0,2262964.0,0.0,0.0
220920,885845.0,3613529.0,8118095.0,0.0,0.0
40902,82217.0,346530.0,778508.0,0.0,0.0
212906,671301.0,2773594.0,6231109.0,0.0,0.0
91909,261903.0,1067780.0,2398857.0,0.0,0.0
91910,117190.0,457994.0,1028922.0,0.0,0.0
110908,37730.0,196198.0,440776.0,0.0,0.0
109911,262261.0,1124723.0,2526785.0,0.0,0.0
243905,3213381.0,13902587.0,31233324.0,0.0,0.0
180904,14159.0,71565.0,160778.0,0.0,0.0
170904,1085128.0,4432170.0,9957240.0,0.0,0.0
234907,454184.0,2067460.0,4644720.0,0.0,0.0
153907,54739.0,250171.0,562031.0,0.0,0.0
105905,187578.0,758249.0,1703470.0,0.0,0.0
5904,23567.0,129535.0,291011.0,0.0,0.0
57828,149809.0,618634.0,1389812.0,178624.0,178624.0
248902,50114.0,209517.0,470697.0,0.0,0.0
250907,253375.0,1107221.0,2487465.0,0.0,0.0
212910,239695.0,1781369.0,4001993.0,0.0,0.0
200904,158525.0,628297.0,1411521.0,0.0,0.0
174906,185676.0,811270.0,1822586.0,0.0,0.0
116909,91709.0,402885.0,905115.0,0.0,0.0
196902,70534.0,353423.0,793994.0,0.0,0.0
224902,27538.0,135646.0,304740.0,0.0,0.0
229903,373956.0,1573599.0,3535222.0,0.0,0.0
81905,68470.0,318258.0,714994.0,0.0,0.0
43914,675004.0,3008909.0,6759766.0,1617759.0,1617759.0
221912,218589.0,924780.0,2077594.0,241584.0,241583.0
250905,76512.0,442734.0,994639.0,0.0,0.0
101873,113923.0,536770.0,1205899.0,0.0,0.0
101845,4518345.0,22118416.0,49690868.0,0.0,0.0
62903,385151.0,1644169.0,3693762.0,0.0,0.0
62904,106499.0,506808.0,1138587.0,0.0,0.0
71905,14302544.0,62172314.0,139675292.0,0.0,0.0
253901,1538030.0,7432980.0,16698810.0,0.0,0.0
3906,100200.0,524551.0,1178447.0,0.0,0.0
25906,59399.0,244291.0,548819.0,0.0,0.0
138904,0.0,155490.0,349322.0,0.0,0.0
174911,0.0,351699.0,790121.0,0.0,0.0
101877,0.0,80400.0,180625.0,0.0,0.0
