Variable,Format_Type,Description
r_ti18_rs,Numeric,Average Scale Score -- Reading -- Nonparticipant (Previous Participant) Students
r_ti18_unsatgl_rm,Numeric,% Did Not Meet Grade Level Performance -- Reading -- Nonparticipant (Previous Participant) Students
r_ti19_approgl_rm,Numeric,% Approaches Grade Level Performance -- Reading -- Homeless Participant at Non-Title-I Schools Students
r_ti19_d,Numeric,# Tested -- Reading -- Homeless Participant at Non-Title-I Schools Students
r_ti19_mastrgl_rm,Numeric,% Masters Grade Level Performance -- Reading -- Homeless Participant at Non-Title-I Schools Students
r_ti19_meetsgl_rm,Numeric,% Meets Grade Level Performance -- Reading -- Homeless Participant at Non-Title-I Schools Students
r_ti19_rs,Numeric,Average Scale Score -- Reading -- Homeless Participant at Non-Title-I Schools Students
r_ti19_unsatgl_rm,Numeric,% Did Not Meet Grade Level Performance -- Reading -- Homeless Participant at Non-Title-I Schools Students
r_ti1n_approgl_rm,Numeric,% Approaches Grade Level Performance -- Reading -- Not Title-I Participant Students Codes: 0 8
r_ti1n_mastrgl_rm,Numeric,% Masters Grade Level Performance -- Reading -- Not Title-I Participant Students Codes: 0 8
r_ti1n_meetsgl_rm,Numeric,% Meets Grade Level Performance -- Reading -- Not Title-I Participant Students Codes: 0 8
r_ti1n_rs,Numeric,Average Scale Score -- Reading -- Not Title-I Participant Students Codes: 0 8
r_ti1n_unsatgl_rm,Numeric,% Did Not Meet Grade Level Performance -- Reading -- Not Title-I Participant Students Codes: 0 8
r_ti1v_approgl_rm,Numeric,% Approaches Grade Level Performance -- Reading -- No Title-I Info Students
r_ti1y_approgl_rm,Numeric,% Approaches Grade Level Performance -- Reading -- Title-I Participant Students Codes: 6 7 9
r_ti1y_mastrgl_rm,Numeric,% Masters Grade Level Performance -- Reading -- Title-I Participant Students Codes: 6 7 9
r_ti1y_meetsgl_rm,Numeric,% Meets Grade Level Performance -- Reading -- Title-I Participant Students Codes: 6 7 9
r_ti1y_rs,Numeric,Average Scale Score -- Reading -- Title-I Participant Students Codes: 6 7 9
r_ti1y_unsatgl_rm,Numeric,% Did Not Meet Grade Level Performance -- Reading -- Title-I Participant Students Codes: 6 7 9
region,Character,Education Service Center (Region) Number
